"year","forecast_horizon","intercept","A","D","DD","E","NegE","AC","t_intercept","t_A","t_D","t_DD","t_E","t_NegE","t_AC","adj_r_squared"
1968,1,0.846272389727833,-0.00252569349043504,-0.0196978576773146,2.81349224303452,0.93013963800975,-0.0231231606165478,-0.160985789086055,0.713424927804033,-0.51663841048267,-0.0449133307807113,2.62218295289162,3.20847116183934,-0.00777139455105159,-2.09084329491657,0.975032566583725
1969,1,-0.0883284644202202,-0.00581266852148114,-0.421354531316075,2.87852353707877,1.27157712153447,2.37110886856621,-0.114695424672362,-0.104663633912801,-1.02686644745217,-1.08389909794281,2.37591831299301,5.21466945040077,1.01993616321367,-1.66198550781091,0.976338803410049
1970,1,-0.428214638415888,-0.0038882975244685,-0.446991835648028,1.95707703380181,1.29911577397127,2.45963653148129,-0.0824826307826903,-0.871954796175979,-0.718508729941072,-2.12389802901486,2.07454596875405,11.9484446826691,2.00286125968938,-1.94335558378283,0.982003893602797
1971,1,-1.02973874658501,0.00323269259462847,-0.660647917990507,0.146200875775158,1.34917611042532,3.61218164770593,-0.014991267383282,-1.60052842703684,0.488336643035086,-1.95367310958323,0.15518392323824,9.62079272151787,2.55044014031142,-0.311549266572645,0.95336527638181
1972,1,0.660253429631794,0.00397618479445186,0.276428461546655,1.52357932981694,0.683567299640187,-1.1818234423523,-0.116511129658483,0.726158866192715,0.651822471900137,0.662636243210308,2.37440307075245,2.51877045660162,-0.403523006594577,-2.18179262879521,0.938684471060211
1973,1,0.232303532647582,0.00532288415077947,0.24640175789117,1.23350693185742,0.775706132735764,0.704709425256168,-0.0441302411664665,0.245229258776956,1.04547674130718,0.507357692677059,2.24120363785781,2.78069341383213,0.248344613242847,-0.846835301555595,0.944453486241137
1974,1,-0.405170023837284,0.00635173884290896,-0.0139808412323257,1.4156022466448,0.958593988886979,1.74291663293434,-0.0574771317484768,-0.457810848074437,1.48655924407193,-0.0315344123131144,2.13253100208136,3.89020921672541,0.693045985516588,-1.30162449814884,0.944377319717781
1975,1,-0.844071870719394,0.0110590625576159,-0.345177240118385,1.16469953766326,1.08945967875999,2.93447718217576,-0.0250201361297062,-1.1690088996953,2.14915738530489,-0.887740308221814,1.63990123586621,5.54981165334559,1.39765707943534,-0.50193499706246,0.924441501992607
1976,1,-0.298558204077804,0.0104200467014755,0.0247083088719959,1.33744301265372,0.863750826730638,1.4252545260976,0.000827683115843474,-0.599892685913029,2.05965604970462,0.0826921533847389,2.4725292308483,6.35596531072209,1.05394557133974,0.0309078128619175,0.921225141184082
1977,1,-0.239185037504201,0.0121597228966153,0.119175027519375,1.06533720530644,0.828015468568811,1.61942745933321,0.0292164075635261,-0.512368352419177,2.07689977635205,0.386755388118896,1.75951370684023,6.84652437510723,1.46997535842589,0.759643645004766,0.92017292750414
1978,1,-0.135451964973197,0.00812263442594766,0.138813638194847,0.884243396616019,0.887450199481556,1.82094763687255,-0.000578413550713496,-0.307332371842169,1.3573105583243,0.472928974595238,1.38010391744466,7.66992008057942,1.85785274598722,-0.012829561038425,0.924102766281716
1979,1,-0.145665499366633,0.0089345858363452,0.184474810621025,0.55070888609861,0.870844420854537,1.82502654181627,-0.0128365293059376,-0.389963029081002,1.68079601470578,0.716680149107743,0.76215305131475,8.29168803123799,2.09930083214974,-0.358563063065652,0.930167170537926
1980,1,-0.232104082143306,0.0112620622956045,0.104195126529182,0.31305728747221,0.898774442362449,1.67039936766782,-0.0119076969290862,-0.653042154085423,2.62423873036771,0.443178241544308,0.462549527041034,9.44084224298598,1.85115883810334,-0.355279365618613,0.928377536317236
1981,1,-0.202790082662721,0.0127171907577448,0.434537096588819,-0.389285810801963,0.785950614991228,1.98497523694014,0.13329433974817,-0.503398679425267,2.18698361435462,1.50508504440795,-0.522794964388235,5.37494565672398,1.81205719237611,1.6092353301805,0.900189943834288
1982,1,-0.219845907238957,0.0129576813503951,0.399349085176995,-0.259556267285051,0.785112023680653,1.75730456921526,0.121619611786891,-0.683127163347903,2.49273937921827,1.81898696525382,-0.390638985721392,7.02289817163116,2.04270599786086,1.782983965931,0.915891189263046
1983,1,0.203517910003987,0.00995088097202054,0.619645185521778,-0.0474475735738499,0.690353211249916,0.154521222791155,0.118622895736419,0.577714266511221,2.03633610182927,3.27651445712638,-0.0702583105694178,8.2942984662503,0.16528689236669,2.25818293175521,0.905308679534905
1984,1,0.395992347607634,0.0105404529186998,0.530074178782689,-0.367168735857131,0.701419654236468,0.246664395325449,0.0948549794183476,1.02551269600344,1.80034700726898,2.5889498346418,-0.459812575237185,9.57298295502696,0.249894518006879,1.90725484930714,0.896158020989295
1985,1,-0.487048350031641,0.00548391535155589,0.303550891501101,1.81427118661495,0.842348924608116,2.8441291662144,0.0750962432595975,-0.982515437338309,0.838927164036142,1.27711921655913,1.0206727356746,7.93738962430224,1.90889370912241,1.57790406681811,0.877609722896006
1986,1,-0.616155115572954,0.0035336363820836,0.34187021417878,1.94046865065739,0.838587180408422,2.82981316327837,0.0697157481043501,-1.24632059492155,0.65941083876179,1.62794678834678,1.08606635639866,9.24104272553748,2.04045147900156,1.74149346306489,0.87701386223169
1987,1,-1.14167535391808,0.000874750076571076,0.342135879659604,2.6345117202371,0.847353985886823,3.8276199426606,0.0544126546598336,-1.97444154739879,0.17011740318457,1.76108563630416,1.36499891158962,10.1787659764273,2.47981321382533,1.61163442856457,0.860297977632551
