"year","Size_category","BM_category","intercept","EPS","t_intercept","t_EPS","adj_r_squared"
1968,"Medium cap","High BM",-0.665494153198222,1.24081969160617,-2.80485701061569,18.123043745761,0.528610071064243
1968,"Medium cap","Med BM",0.591968622391566,0.764197997089804,9.61197538575655,34.0647722468917,0.564626371547106
1968,"Medium cap","Low BM",0.489493310397851,0.747937959427228,4.50803676095449,14.3846817251344,0.387124810130595
1968,"Small cap","High BM",0.427330459168595,0.631467499383799,4.79491972002139,13.0080962957113,0.304613092557176
1968,"Small cap","Med BM",0.211872528050843,0.842112107234176,4.78680640514133,28.8380662924283,0.626121466230889
1968,"Small cap","Low BM",0.275494523678992,0.7164248498043,5.84873044454351,14.4830010123287,0.502113394335669
1968,"Large cap","High BM",0.751542867115531,0.763044951707621,1.39825113743007,7.91737897513077,0.56755718231864
1968,"Large cap","Med BM",0.50491566055109,0.854462015141626,5.36477211164679,29.7020005212415,0.686188111288495
1968,"Large cap","Low BM",0.345448993580641,0.876661289226508,3.25852906633533,27.2918799196748,0.755291866578778
1969,"Medium cap","High BM",-1.41053706797374,1.57127376890455,-5.10955383409331,19.9625706172756,0.517917963661003
1969,"Medium cap","Med BM",0.522886389886487,0.774328942385359,10.4137965631461,41.7382645569913,0.573652478080921
1969,"Medium cap","Low BM",0.34613109571221,0.781619471507394,5.21397035806354,22.2862287232206,0.440336291079494
1969,"Small cap","High BM",0.376628285093093,0.652549726371374,4.74430388539996,14.8501116876438,0.322109319435877
1969,"Small cap","Med BM",0.262208864019851,0.814673084833594,4.95655202628691,23.085997318373,0.43005583443453
1969,"Small cap","Low BM",0.271341003032384,0.661782225742846,7.50534669964655,18.0086500043296,0.458395313911947
1969,"Large cap","High BM",1.26015120058969,0.693221165309268,2.80655637840844,7.80961473904911,0.468708834781734
1969,"Large cap","Med BM",0.634843268161776,0.786096207116969,7.50271032188469,30.7522980838724,0.624100840648887
1969,"Large cap","Low BM",0.431172768063768,0.840682595767124,4.50889176124522,28.052543234567,0.706184989782026
1970,"Medium cap","High BM",-1.86816371988668,1.73216641912759,-8.60396947587122,28.4036661454317,0.606402395750537
1970,"Medium cap","Med BM",0.412028434814741,0.805806088349558,9.15365254308781,47.155539325567,0.561891916844734
1970,"Medium cap","Low BM",0.349015290239373,0.775976874075036,6.9430033229099,27.6370900273139,0.46546538601432
1970,"Small cap","High BM",0.219032000213773,0.699806352121246,3.05395981224074,17.4623905046056,0.32370191285656
1970,"Small cap","Med BM",0.173111855655427,0.84951096830513,4.22493984755228,29.444210286882,0.466835301084718
1970,"Small cap","Low BM",0.255112144252592,0.694595870739691,8.24588784010442,21.2530911048292,0.473073135303177
1970,"Large cap","High BM",1.05320180562072,0.712278238771568,3.20307509593788,10.2911302201232,0.511974584950519
1970,"Large cap","Med BM",0.576738860370696,0.806704870415679,8.18983348760329,37.4708287014547,0.653784628520826
1970,"Large cap","Low BM",0.411730835982531,0.848210173993293,5.03427784977431,31.8916573994635,0.717023301971503
1971,"Medium cap","High BM",-1.29988933149777,1.45097704120662,-6.39543246915099,22.2359953725002,0.36620530553878
1971,"Medium cap","Med BM",0.361237416736184,0.820075783348541,8.89497193287113,52.13140649969,0.570290515469966
1971,"Medium cap","Low BM",0.319735161320918,0.788921560482401,7.08880243018801,30.4098295591795,0.480934017629581
1971,"Small cap","High BM",-0.118675888385386,0.937993910425391,-1.16196200978168,15.8501156110053,0.173379731445384
1971,"Small cap","Med BM",0.155115740572506,0.836070697628926,4.76626553391423,35.1153804953006,0.493015446941483
1971,"Small cap","Low BM",0.287841788136919,0.622359306391001,9.60766908777562,20.1013243517264,0.421145879974792
1971,"Large cap","High BM",0.58018775845539,0.770206909940799,2.45972865234944,14.2280354517307,0.557322567472825
1971,"Large cap","Med BM",0.569717042526071,0.804721589994898,8.55269614824952,39.3763040198719,0.64522074930635
1971,"Large cap","Low BM",0.377290024201906,0.858495458137323,5.0106727178929,34.4121279430647,0.722696364876563
1972,"Medium cap","High BM",-1.54618172214785,1.64707962807658,-5.83183612211579,18.6340921324549,0.2419104806794
1972,"Medium cap","Med BM",0.390746729827417,0.803431524725833,11.0630078599956,56.9865638624765,0.565146885734759
1972,"Medium cap","Low BM",0.298559100202029,0.794951465231685,7.43021727275412,33.6971593116988,0.488481918660066
1972,"Small cap","High BM",0.0176898138344709,0.839348929345938,0.241569308793806,18.6077722497607,0.175409287699199
1972,"Small cap","Med BM",0.203811173640951,0.793082774681101,7.68637902610965,39.2068489245797,0.485183551436278
1972,"Small cap","Low BM",0.274885559102869,0.626237602826463,9.6414391395343,21.1947110170558,0.414931706636539
1972,"Large cap","High BM",0.470601687410135,0.789389233361828,2.28780777691976,15.6214125025538,0.530596924455937
1972,"Large cap","Med BM",0.528277227637011,0.818439810510492,8.77058973929091,43.6145187050681,0.649497539574222
1972,"Large cap","Low BM",0.320129714602168,0.871798869454482,4.76703392885212,37.9911072060757,0.726127289454725
1973,"Medium cap","High BM",-1.71781087819819,1.85762911818521,-5.67383153050703,17.5583091583051,0.181584393999809
1973,"Medium cap","Med BM",0.422412804294841,0.79749462767684,13.5440746839884,62.3502995019877,0.569162449258311
1973,"Medium cap","Low BM",0.354783127068628,0.769275337781117,10.0145174486112,35.9998758301631,0.483207231254722
1973,"Small cap","High BM",0.126919213529591,0.773420293416716,2.23004484958437,20.9179429607001,0.166273207070286
1973,"Small cap","Med BM",0.263657909385487,0.754580706090932,11.826569902652,43.1892264703025,0.482193520122838
