"Size_category","BM_category","LHS","intercept","E","NegE","NegE_E","adj_r_squared","t_intercept","t_E","t_NegE","t_NegE_E"
"Small cap","Low BM","E_{t+1}",0.00396002220889925,0.229723352246474,-0.174237141934133,-0.0030908628315754,0.0933575645946868,1.43010981815906,1.37879327565394,-2.51634281613123,-0.123424575019261
"Small cap","Med BM","E_{t+1}",0.0078691509235166,0.374884251162726,-0.101957270079233,0.00437778310415294,0.118236971743987,1.3378541482017,3.06574077999485,-3.08691340563525,0.100450694802146
"Small cap","High BM","E_{t+1}",-0.110154609019272,0.577719548063989,-0.0642415934065447,0.0195211729927252,0.0860184704319371,-1.95481578342574,3.09364452012575,-1.46406355841504,0.713865836681563
"Medium cap","Low BM","E_{t+1}",0.0163123270610352,0.563008781191417,-0.0720754172135583,0.000547858275704945,0.262049298779578,2.57106155536377,3.36358382840477,-2.62412496121556,6.05832545166298
"Medium cap","Med BM","E_{t+1}",0.000338032463202041,0.801583518342402,-0.063429619955024,0.000135239371141937,0.0730634067752609,2.39521346080012,7.8117484218001,-1.32183354649768,-0.321461702493683
"Medium cap","High BM","E_{t+1}",-0.115121563042099,1.0449515416141,-0.0669578540379157,0.000533633237893616,0.114377631620618,-2.42212512578865,2.9331064606228,-0.636166232570594,-0.106969974754084
"Large cap","Low BM","E_{t+1}",0.0647492066991661,-0.355387644135454,-0.132471654658956,0.000474574908813964,0.23666524277686,2.52670403341442,4.52178382891475,-5.91740408035164,2009807773215785
"Large cap","Med BM","E_{t+1}",0.0180153991917731,0.648183771061925,-0.00971707710757395,4.16752472833179e-05,0.0912116715408967,3.76368696759699,8.35651089986066,-0.626525805322496,-0.586970170360785
"Large cap","High BM","E_{t+1}",-0.0387637544449456,0.617904644073153,-0.106825979220765,0.000312066572390237,0.0778738513658848,0.909357764457921,2.46359049212045,-0.668221519934367,128678000919738
