"Period","A_mean","A_sd","E_mean","E_sd","NegE_mean","NegE_sd","D_mean","D_sd","DD_mean","DD_sd","AC_mean","AC_sd"
"1963-2009",2195.92,17349.12,72.09,375.23,0.25,0.43,27.35,149.1,0.54,0.5,-41.29,213.05
"1963-2020",4241.66,40564.84,121.97,681.85,0.26,0.44,47.78,286.3,0.53,0.5,-71.06,397.7
