"year","Size_category","BM_category","intercept","EPS","NegEPS","NegEPS_EPS","t_intercept","t_EPS","t_NegEPS","t_NegEPS_EPS","adj_r_squared"
1968,"Medium cap","High BM",-0.726958652055892,1.26093845366131,0.505550142218929,0.668273379775852,-0.767222973702446,3.47309361508927,0.428456119160342,0.770577456118384,0.527704165850366
1968,"Medium cap","Med BM",0.619917334772317,0.752000090292043,-0.546339648757736,-0.094658370589841,7.43096095651361,19.8992308594967,-1.42482191708669,-0.35629326163873,0.55113994473314
1968,"Medium cap","Low BM",0.247439465887783,0.856691872639684,-0.583136860371687,-4.73005974121433,1.43347027504153,7.93556668440628,-1.40071139164706,-14.1145758540919,0.594661508069927
1968,"Small cap","High BM",0.3178155460469,0.720749473338305,-0.109173891950958,-0.314285739673844,3.71819869724624,10.8307638326549,-0.200585701814225,-1.49647064080907,0.318378686124196
1968,"Small cap","Med BM",0.170319177893263,0.889072230327475,-0.213771008133311,-0.245437382870327,3.48806493907892,22.8776793926897,-1.17394459097441,-1.51079236116296,0.65663765438815
1968,"Small cap","Low BM",0.0473303306917394,0.965630805876323,0.225371028192786,-0.523853623644763,0.702142564812307,9.12179222113721,1.98716693867894,-3.38461964726358,0.59146426364289
1968,"Large cap","High BM",0.751542867115531,0.763044951707621,NA,NA,1.22362294130357,4.95672335060903,NA,NA,0.56755718231864
1968,"Large cap","Med BM",0.50491566055109,0.854462015141626,NA,NA,4.81767779233436,20.8156569227873,NA,NA,0.686188111288495
1968,"Large cap","Low BM",0.345448993580641,0.876661289226508,NA,NA,2.54625734054243,15.4074694589327,NA,NA,0.755291866578778
1969,"Medium cap","High BM",-1.92815187467357,1.71666839964168,1.00403263218743,-1.30805206923603,-1.54741385941126,3.58081940815485,0.659003966186199,-2.33309180062907,0.563495919047122
1969,"Medium cap","Med BM",0.553052812093164,0.760953176767111,-0.427856424561733,-0.108412807688892,8.03397911618323,24.5501217605816,-1.35005090293909,-0.43529932845606,0.560673361493343
1969,"Medium cap","Low BM",0.251247249766652,0.827967967423966,-1.48400231322722,-4.89693264605392,2.54749648098615,11.9513095592384,-2.45259834837786,-11.3391736301284,0.558020653820987
1969,"Small cap","High BM",0.233212153923827,0.752450110511607,0.024439658254609,-0.311282923695914,3.00444999077435,12.9482275155641,0.0540942630177977,-1.50965201937329,0.337594387229667
1969,"Small cap","Med BM",0.190139993358113,0.87443007372883,-0.0201673816177699,-0.242643437402413,4.42049850554054,23.3720951737341,-0.123138170960353,-1.53043086163902,0.440938058164386
1969,"Small cap","Low BM",0.0688697829106203,0.915360761095267,-0.0632068373033039,-0.718148841511448,1.41913480419686,12.9515742144401,-0.581005775371008,-6.29602209553046,0.559355397356464
1969,"Large cap","High BM",1.26015120058969,0.693221165309268,NA,NA,2.00232523013349,4.60810842587042,NA,NA,0.468708834781734
1969,"Large cap","Med BM",0.634843268161776,0.786096207116969,NA,NA,6.43006053378705,20.3168861668206,NA,NA,0.624100840648887
1969,"Large cap","Low BM",0.431172768063768,0.840682595767124,NA,NA,3.22322282930773,14.6608331279854,NA,NA,0.706184989782026
1970,"Medium cap","High BM",-2.48196078160446,1.89510442269124,1.98474135378913,-1.60082380968031,-2.53008819832418,5.05108349651938,1.68394412680955,-4.28053774073116,0.674398843195232
1970,"Medium cap","Med BM",0.430191968233749,0.797938071906466,-0.502332420246482,-0.120713105931792,7.07771325181782,29.5423572803689,-1.42800510366078,-0.484144116588793,0.551425451504275
1970,"Medium cap","Low BM",0.237241234638325,0.836106901707164,-0.819238361310418,-3.94249744791145,3.21073166605438,15.1833048931977,-2.49745528963413,-5.73423199732949,0.556126670033355
1970,"Small cap","High BM",0.161280438452842,0.743895916918743,-0.122867292578987,-0.221257951707974,1.72470258803852,11.1586858571597,-0.333520239425295,-1.09272431793808,0.328679680064757
1970,"Small cap","Med BM",0.120847906348577,0.896132378650254,0.0179025971142609,-0.158432026316317,3.57651520944538,27.9318862652003,0.107282944154428,-1.05148548202872,0.473679700312388
1970,"Small cap","Low BM",0.0774505144761474,0.920535052266547,-0.0103593645351092,-0.607652635915226,1.88562058625609,15.1837521579318,-0.107790515218125,-5.03448768228489,0.539058832314573
1970,"Large cap","High BM",1.05320180562072,0.712278238771568,NA,NA,2.22646374477511,5.92358457842075,NA,NA,0.511974584950519
1970,"Large cap","Med BM",0.576738860370696,0.806704870415679,NA,NA,6.84494040314609,24.4094451516172,NA,NA,0.653784628520826
1970,"Large cap","Low BM",0.409730128388342,0.848642163112783,NA,NA,3.46882611123755,16.2524308044011,NA,NA,0.716285429172193
1971,"Medium cap","High BM",-1.87502793122258,1.63590497678986,1.79922722905312,-0.708138770185285,-1.86664061802177,4.00617163008281,1.50372721613892,-1.37076407733724,0.39163696891487
1971,"Medium cap","Med BM",0.370466083437649,0.816273191788562,-0.147062593537115,-0.079151183645318,6.54459552815187,32.0744830820782,-0.494868108834145,-0.323679704434076,0.560563006955315
1971,"Medium cap","Low BM",0.212731744400263,0.848075093235877,-0.567661796999325,-3.06746185252522,3.13596583899618,16.3700302181173,-1.45543911006603,-2.9323590186141,0.550369649423222
1971,"Small cap","High BM",-0.410154547799323,1.11507833176477,0.422605549118719,-0.440093708791842,-0.970840120042289,3.09823581700046,0.808714330173248,-1.33489442449259,0.173839924700494
1971,"Small cap","Med BM",0.0847879522482132,0.897208977096246,0.0242871071656035,-0.23659578664991,2.94902550830841,30.7325985740647,0.184093817015892,-1.91496609229287,0.503307116144456
