"forecast_horizon","LHS","intercept","A","D","DD","E","NegE","AC","adj_r_squared","t_intercept","t_A","t_D","t_DD","t_E","t_NegE","t_AC"
1,"E_{t+1}",-9.52840090200326,0.000410125565125164,0.356455136204908,-17.0357047887187,0.997062506499121,21.507089088953,-0.0378012011126369,0.68657672751042,-2.85252657350798,0.0724378034311054,1.90825663524722,-1.94409063129239,11.0717509682768,3.43057221665578,-0.586794695697876
2,"E_{t+2}",-8.74335533525671,0.00417752889524019,0.506239795780077,-16.336338540221,0.859397489710712,22.7879512688738,-0.103781936416422,0.61627805438504,-1.90271478235115,0.846103193496436,2.48525880343793,-1.18353701868213,8.18051513806679,2.41818749656529,-1.70817638173924
3,"E_{t+3}",-4.72095060760625,0.00688406323715806,0.649761424844814,-17.3551334945082,0.7813282951935,22.6702224816173,-0.115411064004519,0.577940314397336,-0.769039615588521,1.10787520115757,2.60850434008348,-0.879304037541439,7.18973235388926,1.96004467834486,-2.02187338094327
4,"E_{t+4}",-0.308811860669212,0.00721616586821256,0.509551390938708,-20.7241463915686,0.921813758551694,26.5313991542658,-0.127721560061629,0.557629838837041,-0.266198146552893,1.24126523022198,2.1042248056476,-0.931104984241005,7.07440332033853,2.02231767824074,-1.98166722235377
5,"E_{t+5}",3.56263721833737,0.00741791209767898,0.453761681854513,-21.9824303337805,0.984438027939176,24.862586643739,-0.176363922282246,0.539358273017533,0.219200709429034,1.29341774179715,1.79383871419746,-0.601333603795866,6.50138687689401,1.94901754730338,-2.33531391011239
