"year","Size_category","BM_category","intercept","A","D","DD","E","NegE","AC","t_intercept","t_A","t_D","t_DD","t_E","t_NegE","t_AC","adj_r_squared"
1968,"Medium cap","Med BM",-1.09926539341318,-0.000224825098189377,-0.471376432269473,1.74418885362162,1.35054929422426,28.3967430033001,-0.000456284624870885,-0.35041348372298,-0.0684946718625046,-2.56856843542463,0.541188322540891,13.7250928774047,5.86402479726519,-0.0221659429625921,0.835847128455804
1968,"Medium cap","High BM",1.36423575008554,-0.00394333859150463,-0.0297260660743888,NA,1.00425554929002,-3.71362575288335,0.00171379800618025,1.49861151168587,-0.98896382756362,-0.176593460644262,9.82555074801795,-1.75746771931301,0.146039517411222,NA,0.939165443250836
1968,"Medium cap","Low BM",1.24066373936654,0.0172506600765015,0.233392871147757,-0.30205100751515,0.757611729047969,10.6183502932492,0.0223756081772661,0.598704793498707,1.70282531016795,0.612878328811535,-0.140456135392227,3.91949294053213,2.39640387765941,0.418854995079723,0.54281609995558
1968,"Small cap","Med BM",0.395610810771724,-0.00547865090627977,-0.0561861314280806,-0.0985347757045986,0.956176721652531,0.218450188638543,-0.027538907643066,1.55505545293664,-0.802559797215172,-0.128817322233966,-0.346160969405118,5.86554109016265,0.461281317192866,-0.985407145074629,0.45515802700007
1968,"Small cap","High BM",-0.590099931952857,0.00173195517836095,0.356142278727047,0.511490689339353,0.746748782406803,1.80613926384596,0.0553847884134535,-0.84335200186758,0.225834283163582,0.545372204592682,0.683286822897155,4.06020837456233,1.92260214091759,0.976932956349256,0.529972004821505
1968,"Small cap","Low BM",-0.375652628580591,0.0309732591145351,-0.622460526904637,0.350499230554506,0.997599209840563,0.16208516620073,-0.0017790991687271,-1.25547650885705,2.80238793974161,-0.778542338780933,1.01106719127159,3.27755000431653,0.323149684901136,-0.0301790856909214,0.660229594426457
1968,"Large cap","Med BM",8.63140163311738,0.00702896475763549,-0.0103170947723221,NA,0.815900647027316,NA,-0.0504099694213234,2.16458463998438,2.39165135743733,-0.0515634375340249,5.76828933667674,-4.46150636395656,NA,NA,0.999260803077498
1968,"Large cap","High BM",10.3237174116095,-0.0079120064311988,0.490974019843394,NA,0.668160648193229,NA,-0.0793246897220443,0.386492366030632,-0.399714779483341,0.411493131885515,0.880329813053561,-1.16752582211891,NA,NA,0.870688947796005
1968,"Large cap","Low BM",-7.6009650664232,-0.0107164047525429,0.562686888791569,10.9509124667882,0.921944016863883,NA,-0.0515607888192418,-0.303143274857534,-2.26846878593907,4.89498516093354,0.432654513254997,9.26149896671501,-1.95727016821254,NA,0.995048977551608
1969,"Medium cap","Med BM",1.03004844358864,-0.00724207733584093,0.00421564326599364,0.997336372008423,1.11212730163535,27.3016922731763,-0.0375714544490749,0.292220704367799,-1.87371953477637,0.0204157360497348,0.275757569618722,10.0165214118359,4.19743818225387,-1.71078534808676,0.665446085695669
1969,"Medium cap","High BM",1.59534388786851,-0.00182454361066349,0.142866856071944,NA,0.838912895568757,0.700750031491677,0.0236705522995499,1.26030822203603,-0.335723809181096,0.590495319414597,5.75675955152707,0.222896090520741,1.34352166783108,NA,0.809330522980526
1969,"Medium cap","Low BM",-0.201280539164249,0.0174079196415312,-0.216753075447252,2.09559276190764,0.896840650180712,6.31833055066747,-0.0210157622220699,-0.178113488184635,2.52091888139154,-0.691274797947146,1.60061861782,6.0801334165764,2.18360142806721,-0.758468017549841,0.593679655149256
1969,"Small cap","Med BM",0.430541797911375,-0.00518012185193739,0.13871709093004,-0.240883957609302,0.956267293014015,0.520043859201269,-0.0344508212623813,2.16997538915466,-0.93629585746233,0.406250133153523,-1.07423954328873,7.61172954230281,1.30533485936056,-1.80634198253104,0.497369111928199
1969,"Small cap","High BM",-0.26540941092103,0.000506523114978354,0.374028902487429,0.106888201572529,0.78074753451056,1.39795079293674,0.0142813727669888,-0.527274781941426,0.0846739089931843,0.737507119863049,0.19617656641748,5.67257717701746,2.21842867092967,0.359380816802109,0.558813166065518
1969,"Small cap","Low BM",-0.348795935768285,0.0206034567066135,-0.981093945437362,0.482931665510713,0.972261303510667,0.459133645149899,0.0284936330659358,-2.02833064495941,3.1372653299209,-2.1492921384321,2.52987271094162,5.44292885766353,1.38904543811387,0.736864813376176,0.618331037479132
1969,"Large cap","Med BM",7.65592671482289,0.00574647786447669,-0.310373614496936,NA,1.06927611272621,NA,-0.0421087515512329,1.0347578902413,0.999361322691357,-0.769558170969435,3.44052084316763,-1.06206496369892,NA,NA,0.987447800730596
1969,"Large cap","High BM",3.06479098804565,-0.000587384920820896,0.61804324209856,NA,0.478353226069057,NA,-0.0783300208365259,0.167539875875644,-0.0519951921934106,0.879062980487554,1.28658476816956,-1.77257251309674,NA,NA,0.913878096683945
1969,"Large cap","Low BM",-14.995901263519,-0.0180506077521811,0.24095734886881,13.1664894107209,1.27147866056396,NA,-0.000272109341570428,-0.486454226830867,-3.43001411344685,2.17286136104925,0.423610713938766,13.9644866721176,-0.009213256546729,NA,0.991078164960029
1970,"Medium cap","Med BM",-2.27684871538608,-0.0069208172636087,-0.215620667332293,3.61625114249977,1.19027967879172,17.4063079319932,-0.0290457312621691,-0.909962794544612,-1.80568203257894,-1.03537558460147,1.4017508389129,10.8753990221128,3.15864092863022,-1.36213356403888,0.581502305302161
1970,"Medium cap","High BM",-0.991577193767145,0.000942236990569699,0.148965796582065,1.45160350560853,0.871301521143139,2.5129219803861,0.0220591150907486,-0.111107584089891,0.194202072361718,0.501396492471342,0.160972951006247,5.35567931160226,0.547523936306936,1.37880819778484,0.671371796491071
