"forecast_horizon","LHS","intercept","EPS","adj_r_squared","t_intercept","t_EPS"
1,"E_{t+1}",-0.223994722273003,1.71460668201308,0.155504237666157,0.636744711513064,13.145174728504
2,"E_{t+2}",-0.072222001096517,1.56262233416111,0.107540665847006,1.91109932128263,10.5012278358232
3,"E_{t+3}",-0.0139712296581033,1.53041330226114,0.0843195318755697,2.25619512397423,9.00666966103153
4,"E_{t+4}",-0.0461866493820443,1.60822308823107,0.071461838186507,2.36215387466518,8.20391748208652
5,"E_{t+5}",-0.0747763099001599,1.66980038228777,0.0668161404100377,2.24809015031213,7.70745367452474
