"Period","EPS_mean","EPS_sd","NegEPS_mean","NegEPS_sd","NegEPS_EPS_mean","NegEPS_EPS_sd"
"1963-2009",0.87,2.01,0.27,0.44,-0.32,1.87
"1963-2023",0.87,2.16,0.28,0.45,-0.36,2.01
