"forecast_horizon","LHS","intercept","EPS","NegEPS","NegEPS_EPS","adj_r_squared","t_intercept","t_EPS","t_NegEPS","t_NegEPS_EPS"
1,"E_{t+1}",-1.95275449297169,2.41656641055601,3.00780609035542,-0.851755872229146,0.162067489937392,-1.65822643990882,10.6391166604876,2.29790290964133,-3.37170501789602
2,"E_{t+2}",-1.69116587724433,2.2422708594074,2.796230867956,-0.924780756932853,0.116836254299038,-1.27928637412797,8.96913266735161,2.36623282468593,-4.57118885865682
3,"E_{t+3}",-1.60532227949405,2.20430064121216,2.82125440181908,-0.931566917945638,0.0935456158772241,-1.00658959941321,7.86767471002821,2.38109025867999,-4.4392641450844
4,"E_{t+4}",-1.76351487378282,2.33777180713986,3.07766820078315,-1.02721506263522,0.0812529517798834,-0.951243711205544,7.28558066281633,2.29483611827797,-4.90112703495588
5,"E_{t+5}",-1.92833425467663,2.47360515373795,3.23984391710948,-1.19983141255134,0.0766980769475599,-1.00286432221967,6.92250291963111,2.43675761598097,-4.79440470839211
