"forecast_horizon","LHS","intercept","A","D","E","AC","adj_r_squared","t_intercept","t_A","t_D","t_E","t_AC"
1,"E_{t+1}",-9.9000347308605,0.000716022917852277,0.345784309296907,0.982318933816648,-0.0323640195774139,0.692221045565864,-1.93188758016193,0.117735440195476,1.84625602514099,10.9666314423047,-0.474033981685925
2,"E_{t+2}",-7.37115846274916,0.00435506607017312,0.489733249615026,0.846976219086822,-0.0992555487625486,0.620549350943862,-0.932190275687041,0.825343937654028,2.39330388725584,8.10972822020574,-1.61612093323774
3,"E_{t+3}",-3.70651989640571,0.00699602586575253,0.631014848232539,0.771015990146403,-0.11028208424055,0.58157643926141,-0.081096065140308,1.0525475650994,2.51421582403621,7.14695756290143,-1.90690919748981
4,"E_{t+4}",0.338080527537102,0.00722341491273602,0.482430113238336,0.914174399970271,-0.123010252272483,0.560838498635084,0.400832110382828,1.18794438198841,2.0122084377364,7.07385575650726,-1.89305468941535
5,"E_{t+5}",2.98552743375454,0.00710369083822212,0.42924806932387,0.978885012914552,-0.170885952343186,0.542195488838964,0.883355278532959,1.2272309466923,1.7405125069703,6.50863774902303,-2.26342414382477
