"year","forecast_horizon","intercept","A","D","E","AC","t_intercept","t_A","t_D","t_E","t_AC","adj_r_squared"
1968,1,3.26762740775682,-0.00231088980850045,-0.0223251572755868,0.931144162070982,-0.160483730939893,2.36642035170306,-0.475937996788908,-0.0515482777268017,3.25967953596209,-2.0893886928513,0.975098229365914
1969,1,2.49776713783505,-0.00571410487738216,-0.419956191298923,1.27024957067191,-0.114304018005151,1.70953589989793,-1.01056800383055,-1.08833576828441,5.25752518466346,-1.66328225518348,0.976360005076928
1970,1,1.33920404991436,-0.00382733387614028,-0.445589106108149,1.2978994916595,-0.0821900407689163,1.32314311036721,-0.709503223676122,-2.12360345367133,11.97362767291,-1.94294161385599,0.982011229912126
1971,1,-0.616835307939637,0.00325009642337332,-0.654613444686924,1.34447581659899,-0.015311868032395,-0.523393608073171,0.492522074455169,-1.95078493638464,9.72495247084163,-0.320300365861723,0.953377748520277
1972,1,1.71035343296449,0.00400688475795904,0.273152647923818,0.686132754108238,-0.116308328345746,1.67591621832226,0.657723295458821,0.661368755336297,2.566611947753,-2.17388424714858,0.938679819343625
1973,1,1.23312765400859,0.00536792210791126,0.247058723776506,0.775097714582891,-0.0439771386968307,1.28797192054954,1.05404436190343,0.51546576488162,2.83369232481918,-0.843021385863615,0.944455535267675
1974,1,0.808189739494252,0.00640457226335261,-0.0116141689857711,0.956769185883503,-0.0573119091893021,0.792527820773999,1.49919959690568,-0.0265443508700907,3.95789959800274,-1.30056633651349,0.944358467357315
1975,1,0.267746348233601,0.0111128511736711,-0.341247317300958,1.0865064473643,-0.0248673955383883,0.27832455666812,2.16033013985191,-0.886233350581811,5.62415746061167,-0.50014808199178,0.924401443026681
1976,1,0.780661383174452,0.0104715432598784,0.0252754791827079,0.863119909390219,0.000994422627024502,1.12327826743638,2.07059325383943,0.0851257868461107,6.43681061650339,0.0371356319040444,0.92120451795042
1977,1,0.671117931991592,0.0122047595868855,0.120242533810984,0.827007372234357,0.0293582118710299,0.945083547978056,2.08742670086564,0.391856887734811,6.909655344169,0.764184495744991,0.920155352732159
1978,1,0.671296857404916,0.00816418349380866,0.140436896556603,0.886108541491312,-0.000430085448787865,0.926148339429274,1.36659369323853,0.480398898420067,7.72651420874997,-0.0095493459514579,0.924085582556786
1979,1,0.434246449042728,0.00895689955768602,0.186472067518499,0.869390087778263,-0.0127761696186763,0.602550914864721,1.68975566786702,0.726877062229824,8.33622503011772,-0.357141097669176,0.930154202091149
1980,1,0.16511719102413,0.0112740675716011,0.10620504796908,0.897371974324068,-0.0119024131125859,0.252114055829416,2.63311227005078,0.453141219758554,9.49746951705812,-0.355513105765136,0.928369811731528
1981,1,-0.262276436948098,0.0127042436959621,0.437337156814973,0.784126236865921,0.133165303747179,-0.369811766025955,2.18809765153286,1.51772719870128,5.3809292722812,1.60856488660007,0.900175677941252
