"Size_category","BM_category","LHS","intercept","A","D","DD","E","NegE","AC","adj_r_squared","t_intercept","t_A","t_D","t_DD","t_E","t_NegE","t_AC"
"Small cap","Low BM","E_{t+1}",0.0484335583301552,-0.0356509532199443,-1.99602017358831,0.0350057089410687,0.247395873991868,-0.214738936439021,-0.0331860416911881,0.137875912394155,0.925831051586647,-3.30146152832127,-2.84051033973555,0.472967308950986,3.88781160382405,-2.33713154956417,-1.12803326359459
"Small cap","Med BM","E_{t+1}",0.00774902884443988,-0.021709474928511,-0.364419474263103,0.0387172255400364,0.484608652671359,-0.134439352761157,-0.148002993591168,0.127634223517492,1.45418619540151,-3.46603088178317,-0.644469051152572,1.84929013251627,9.60748735386928,-4.17279561368895,-2.84333873781518
"Small cap","High BM","E_{t+1}",-0.00581275081643501,-0.0366027038597881,0.163546611005557,0.057145796293221,0.48178473863779,-0.159466123032057,-0.0349906001164033,0.127826965195849,1.65799320604302,-10.2336425347772,0.396065194216455,1.26843083727614,10.8218210475598,-2.60781294478032,-0.790292140812972
"Medium cap","Low BM","E_{t+1}",0.0300437373159286,-0.0257048130349228,-0.582247072354451,0.0185244586133128,0.591619357214426,-0.111850808912499,-0.0552152872089078,0.0961158588228802,2.57389036455431,-2.88593434476987,-1.46674323994377,0.428284465451257,6.65601758184157,-3.8708011643594,-0.660306080872474
"Medium cap","Med BM","E_{t+1}",0.00624214266800724,-0.0407798163254034,-0.800678140746738,0.0613922952611743,1.07543582029659,-0.137583940923198,-0.338461792557667,0.0811825420224127,0.522467088455301,-2.77957872068478,-1.47989121566407,2.45922640921251,9.14181375354274,-2.34957002542684,-2.17004019903758
"Medium cap","High BM","E_{t+1}",-0.0554334397584836,-0.0303997779967881,-0.559419401727317,0.156953884105142,0.836699356246971,-0.152179106335577,-0.0440226852906126,0.121302842607227,-1.45582737426491,-4.65294653175557,-0.417965853693413,2.12026322813907,8.36866070128438,-1.39598890614515,-0.673359948723336
"Large cap","Low BM","E_{t+1}",0.00861729032513246,-0.0338809297503284,-1.8791475183662,0.0347448707814581,1.30773728239202,-0.0439017156263295,-0.224128141341551,0.124561593525992,1.39074631298453,-2.02323199236816,-2.39887767315604,1.12714013897971,7.86047194132597,-1.73148695241182,-2.0312109082259
"Large cap","Med BM","E_{t+1}",-0.00427048909403331,-0.00113453084833689,-0.0505742469040862,0.0340224535490678,0.550234547742013,-0.0551006968944891,-0.0253207875768796,0.0682063764825601,-0.0751275003367352,0.393871598079558,0.140064144533694,2.05938735557775,6.09920433618571,-1.1956696596051,0.106586927473007
"Large cap","High BM","E_{t+1}",-0.089943528220277,-0.032046161135939,-0.55511031118819,0.169939351580983,1.18230985000748,-0.093765308955538,-0.290012738754088,0.101593817353549,0.115739316727202,-3.99876232035888,-0.1044261667931,0.862833034989913,5.30918091211342,-0.762733047936707,0.0961027777377967
