"year","forecast_horizon","intercept","A","D","DD","E","NegE","AC","t_intercept","t_A","t_D","t_DD","t_E","t_NegE","t_AC","adj_r_squared"
1968,1,0.8187868554102,-0.00176260113910468,-0.0236375582087486,2.75375020122218,0.924587428915757,0.0542709512620237,-0.152064564615577,0.702758381290964,-0.381413287362816,-0.0553086493082983,2.65209094303741,3.23928808080814,0.0184263438537246,-2.13480699993012,0.977328304606172
1969,1,-0.122738753508187,-0.00521460872425555,-0.423289556301143,2.79560128935516,1.26798614519398,2.50254109621625,-0.108732534344418,-0.14823268005976,-1.0451928792404,-1.11025999655908,2.48598699430373,5.19300477633568,1.07410153657561,-1.68369950766929,0.978322981229042
1970,1,-0.425826969602758,-0.00328805898571066,-0.42885678676751,1.89561480586605,1.28187677078301,2.48178857670119,-0.076675086981151,-0.868915299279936,-0.678414333583851,-1.93893379720508,2.12723130751991,11.0489242055583,1.97299574159498,-2.00449916513134,0.98323698042317
1971,1,-0.940148755458649,0.0023507361502333,-0.631163487901902,0.372314683389968,1.33521113637405,3.52467831425689,-0.0135735169273955,-1.52383093127962,0.376996119721388,-1.92384607328413,0.417149696931147,9.8133539938147,2.55293845734557,-0.30173787718168,0.954743169621747
1972,1,0.63626692720506,0.00436660345632568,0.241349499030784,1.47859315797232,0.696636141756082,-0.974472622296039,-0.115706708210497,0.754584697862346,0.78581314089525,0.637658182560355,2.35196372769605,2.78589946247932,-0.346976027010474,-2.17171232236644,0.941247143196442
1973,1,0.206385424772198,0.00621883349295401,0.247879436884787,1.15832457631979,0.764812437420514,0.797731540672286,-0.0332437000342085,0.232470282701357,1.35921230036694,0.53262288604158,2.17534585461714,2.81798149278741,0.289899187696223,-0.656747478929572,0.946317961670911
1974,1,-0.405095473301648,0.00640727149635452,-0.00668346434835191,1.40350057270774,0.956827796968672,1.96221618864224,-0.0467655371083892,-0.498911093923454,1.65624111413598,-0.0164244380311604,2.22817789559305,4.18048694588242,0.81685111957916,-1.03646201235618,0.945670967408591
1975,1,-0.72314188612352,0.0102766726633957,-0.276282730324859,1.31056304593921,1.06126797507762,2.96355293430035,-0.017760344061959,-1.1035545043449,2.03711540267692,-0.809418580739054,1.93078019755275,5.97864428041974,1.47932228278728,-0.378837610462094,0.924022437028171
1976,1,-0.173987614905187,0.00945436375656736,0.00546418520277192,1.71590707114708,0.861087591068227,1.15409304421861,-0.0246598965543168,-0.392252062508163,1.8731825820876,0.0215561914543296,2.93277626432342,7.80865297920738,0.93862296582402,-0.641683906698482,0.919654115916378
1977,1,-0.108464098122486,0.0116907376416371,0.142999608208559,1.34303201432437,0.801678244877234,1.29620545005302,0.0103237592319221,-0.242789923982215,2.01769865129046,0.504017540129545,2.15980460082546,7.68821386040757,1.20079704298252,0.246174062213734,0.918611546125218
1978,1,-0.0460428267268271,0.00996792956067981,0.19701710323599,1.08313443697647,0.818335217160872,1.5250607824215,0.0195187124862403,-0.107993214767305,1.73964311442646,0.743987627700401,1.86642916172321,9.27440052900808,1.66584894694692,0.524051239324582,0.929487869975949
1979,1,-0.0273097773682529,0.00822807024341241,0.226636852889906,1.22976650916055,0.835779225659516,1.81856047815533,0.00798739129282472,-0.0802530316255642,1.9692143347731,1.03888216445637,2.45063299583508,11.0999814810111,2.27519879952753,0.269621817406639,0.939384606402734
1980,1,-0.129397566292342,0.00977932325150298,0.116995282470489,1.23211495474005,0.884109255499056,1.80718254426862,0.00889877648259321,-0.368297833398718,2.53682721659808,0.550286277788926,2.18330319790697,11.3707378619584,2.02278894472178,0.301062376398184,0.933309948714951
1981,1,-0.293496919646974,0.0113553163754662,0.307394262334906,0.510315097985466,0.829076017252186,2.53562200955699,0.121895325833979,-0.723205699840475,2.05702330207192,1.12028007511199,0.790093776685938,6.00928419318145,2.35401535369778,1.61145496401182,0.906821994897038
1982,1,-0.263058153802379,0.0135363336223827,0.320674998224606,0.799645693966131,0.771155500729373,1.96001167334436,0.107480288104357,-0.825185468183381,2.89583602923004,1.52605119552001,1.46908288738552,7.90104568512286,2.42149243674641,1.74874779523638,0.918802446237619
1983,1,0.102194673597056,0.00958509549323474,0.463888080525916,1.13529331285707,0.719468542286936,0.507108769748998,0.0911932121666036,0.296441062785327,2.05907207308022,2.47729557070059,1.85925933651436,9.39398856206367,0.578228149445008,1.88025964518412,0.907327714568676
1984,1,0.151688145438989,0.0103121126654717,0.284865172397397,1.1917166107803,0.757333453488861,0.945440560315497,0.0535928199812382,0.39520889580541,1.8044796073976,1.28918763549494,1.14703139682589,9.20465710775539,0.932609746605618,1.12953014503322,0.894776015691585
