"year","forecast_horizon","intercept","EPS","NegEPS","NegEPS_EPS","t_intercept","t_EPS","t_NegEPS","t_NegEPS_EPS","adj_r_squared"
1968,1,0.156751669183466,0.940862013894891,0.065835788875235,-0.313581567984001,1.98062091187677,22.0340773882656,0.495531094441565,-3.2048558152443,0.626696945659958
1969,1,0.0864727095990544,0.964028655219384,0.115617197867733,-0.397470962964402,0.876874059388935,17.8411715161406,0.822357221339975,-4.03102353089104,0.550530368214579
1970,1,0.0132615408991143,0.989353634230754,0.142054755182924,-0.391748597513059,0.130972347772774,17.4215236579389,1.01689140718983,-4.14667967304655,0.514603135190283
1971,1,-0.0246532038646717,0.98463300135139,0.155816714278545,-0.35404075650125,-0.318255578605644,21.4658141998496,1.41660802599921,-4.58757468208826,0.440010633338366
1972,1,-0.0974242636370193,1.02520300974335,0.263665953709227,-0.414662435316573,-0.883558082632367,15.3964416858291,1.82134332548039,-4.88561289182455,0.340178113347009
1973,1,-0.122861913425608,1.0590796210424,0.442048996418609,-0.353528070767343,-0.961015773532789,13.2394527800087,2.53001871312397,-2.91473467101667,0.256204298585185
1974,1,-0.1907230182908,1.12304502541216,0.622000938148358,-0.256866785038457,-1.33157196892874,12.2248609203674,3.21008379128203,-1.99404115918961,0.20944390602383
1975,1,-0.300260788986271,1.19549578185127,0.620396548456681,-0.416436951742802,-1.89912148323273,11.6665962322806,3.04925456707971,-4.5187630565915,0.184423725546553
1976,1,-0.259280059273926,1.14848280233387,0.577671735618936,-0.408065389695457,-1.5953366550911,11.0550300599596,2.72201428951107,-4.40509405102165,0.192522106331913
1977,1,-0.189841532111687,1.11940493238265,0.508714368637182,-0.44115669023778,-1.36544635171925,12.2960620340099,2.8011217567823,-5.65321302190435,0.181814454489691
1978,1,-0.193097770364851,1.1360488654111,0.477124393927832,-0.488329727899405,-1.4864037859312,13.3190806500426,2.83392992615132,-6.37393993348229,0.19063774811006
1979,1,-0.1772401991532,1.13624007021486,0.478487081211703,-0.477616570959279,-1.52133895932146,14.8861529018367,3.13268318823655,-6.83317508049882,0.196359026164414
1980,1,-0.190375176975266,1.15262339376166,0.522702314512915,-0.444786725227103,-1.74524393392993,16.3430842347892,3.64518755379112,-7.19618448527772,0.204709548368419
1981,1,-0.172730647914733,1.13296903668866,0.497178166107992,-0.413617312241471,-1.5968064519934,16.7076297473705,3.54479093117444,-6.75495022126544,0.211005827708981
1982,1,-0.13376075619696,1.10160182845346,0.422105636652564,-0.375402627454888,-1.34336668127009,17.7384559117313,3.2923336046301,-6.03092956317878,0.207325276257574
1983,1,-0.0947238597586776,1.0452269531496,0.333100280500122,-0.281399468103212,-1.0613716373937,19.0010917512219,2.77232889766654,-4.30156341082834,0.218505956259837
1984,1,-0.0551157282305334,1.0070071732315,0.281305391697197,-0.255907371836596,-0.706085326481859,20.8527451704812,2.68368957081958,-4.65394358954844,0.23964164857209
1985,1,-0.0246981034079085,0.97950377076553,0.214370063775017,-0.249467887007457,-0.371959763496385,23.5251707490239,2.40819653441756,-4.63551015455512,0.27175609949639
1986,1,-0.0688397653050253,0.990005349517169,0.195327109480899,-0.257854674905536,-1.09912985291116,24.7578781723201,2.34251149459932,-4.78696378245542,0.285280801164706
1987,1,-0.102042881636338,0.979660834971197,0.252946314585057,-0.183695996209449,-1.54810042780571,23.4024767426748,2.67083671826237,-1.9234577038266,0.298900616302282
1988,1,-0.116027565045164,0.970820009561487,0.245320165940049,-0.22179523511775,-1.70524828965091,21.8250793681064,2.64404456085942,-2.53372459950016,0.285603563086005
1989,1,-0.147174732908166,0.977811105873624,0.285452521399196,-0.203308839707171,-1.87602407288203,18.5928856638645,2.75588744070014,-2.37357354872784,0.266488281429765
1990,1,-0.180605905516875,0.969806825006934,0.328991587282705,-0.180850898421472,-1.84476668992408,14.441401056587,2.60015996281093,-1.95707301361296,0.223092704414209
1991,1,-0.209278727424277,0.980083438032662,0.357692650312075,-0.172462984655583,-1.98949776529574,12.8634308990395,2.65184831711154,-1.98300783283904,0.200598662441302
1992,1,-0.236989292312767,0.980568651753715,0.372869953446711,-0.18613080343116,-2.08948717824031,11.378962500479,2.57815488405548,-2.12336723758898,0.176744545381876
1993,1,-0.284792346472946,1.04357697729196,0.432571708157843,-0.260499265363153,-2.21219608206586,10.1271271927487,2.66698249798953,-2.69516471919302,0.161217423632553
1994,1,-0.358744829497484,1.11315141657861,0.528497617593273,-0.29912386497837,-2.26944060073182,8.41620671505877,2.6162235513314,-2.73235058920243,0.121373193112496
1995,1,-0.377641061180585,1.13895884799926,0.58393300948833,-0.306254966512609,-2.3021684936352,8.01644595439275,2.66171055603172,-3.08904692942125,0.11112572478131
1996,1,-0.437720973224642,1.2229427383809,0.70691382035381,-0.34505112128535,-2.30368365353129,7.2533732161644,2.74385127803761,-3.16689304876467,0.098034222813977
