"forecast_horizon","LHS","intercept","A","D","DD","E","NegE","AC","adj_r_squared","t_intercept","t_A","t_D","t_DD","t_E","t_NegE","t_AC"
1,"E_{t+1}",5.60465549540778,0.00369114897402721,0.258296179918753,3.72010733163025,0.757242439651307,-4.61713115280914,-0.0423145283805848,0.716508648504677,0.0813657573318289,1.49189670683553,1.57243567899487,1.57920407170315,7.53097938953,0.433001592586047,-1.32881343036279
2,"E_{t+2}",6.79832407794176,0.00630555093118105,0.339985083475977,9.33789448074432,0.670490308372939,-0.111391749198937,-0.0670344887104311,0.624231383359307,0.511309988029542,2.00503765616654,1.72805534742213,2.1786971113488,5.44793082712946,0.231991710628508,-1.87250520488651
3,"E_{t+3}",14.7102561179441,0.00753905001405983,0.397316213802638,9.68840965460639,0.629147391226643,-5.7154108909347,-0.0900860588623323,0.572712194746056,1.33511241929479,2.02596676754567,1.77280029686063,2.34513872969156,4.20335885904293,-0.206445937023131,-2.07319174955699
4,"E_{t+4}",18.4469111231769,0.00748140881589008,0.25607235563018,11.3826523408684,0.768811025854793,0.295302860027712,-0.0859972494102134,0.550375125054539,1.48131877974065,2.00808752431909,1.30088541966651,2.26662811725076,4.70444873252624,0.167177322409286,-1.8375787446985
5,"E_{t+5}",27.3268256747696,0.00786626939621266,0.228241875860618,8.67742162295732,0.829435789465173,-5.79459419656151,-0.107803023567791,0.523227219031094,1.8213574824659,2.17554874810368,1.24355891035666,2.13211199168941,4.39971552014034,0.134587575167444,-1.8892420444291
