"year","forecast_horizon","intercept","EPS","t_intercept","t_EPS","adj_r_squared"
1968,1,0.221315351842472,0.916101056739644,3.36235285938563,24.2968580065811,0.622069516544585
1969,1,0.175097181914664,0.929412420825111,2.22222388086186,19.9232890257551,0.544194121732606
1970,1,0.103001821960794,0.953798302120001,1.28738909298264,19.5748584639727,0.509243608686857
1971,1,0.073524076106414,0.944365174293354,1.23614030833834,24.4001834921716,0.435288931261833
1972,1,0.0595201820114668,0.958471289040178,0.763384427781,17.9510211336458,0.333110062533227
1973,1,0.0642510645582184,0.978737809474223,0.742580025126619,15.6222604672117,0.250479047171383
1974,1,0.00247743178308883,1.04010626999538,0.0254776336736849,14.3958184908926,0.205263541967154
1975,1,-0.0415754948420238,1.07953071250828,-0.396259492147782,13.5795014722466,0.177648639560155
1976,1,0.00276715281952214,1.03333745154657,0.0265571073542023,13.0087913909601,0.185122055330581
1977,1,0.0917694478429266,0.993920520656374,1.09326568635748,14.6612121113292,0.173598868394918
1978,1,0.10723637375725,1.0021087077414,1.3949878856403,15.8875999345556,0.181128664686463
1979,1,0.116465994053131,1.00927510366008,1.68349523859077,17.6884789700392,0.187284136088315
1980,1,0.0995289253411143,1.03235038532468,1.51853622116591,19.3170524627865,0.196266991129097
1981,1,0.0939871386663773,1.02807579982789,1.423056595678,19.7029029918522,0.203829404333304
1982,1,0.101712111208277,1.01152613921737,1.67707527236871,21.0298964951784,0.201716866813462
1983,1,0.0914903046313803,0.976152793868402,1.69727347159526,22.8343450093042,0.214500506478663
1984,1,0.12882800984051,0.938539929830069,2.92813211996977,25.6688819992169,0.23538545200937
1985,1,0.145187026990299,0.915680004350892,4.06248713182178,29.4541171501944,0.267473363206602
1986,1,0.105114277801073,0.923373710231039,3.20142801739673,31.1885929669579,0.280633231682034
1987,1,0.0652419994433942,0.917342285242735,2.06220647657133,31.0019606759678,0.295530946194133
1988,1,0.0776922398042922,0.894650209851463,2.55981932664196,29.0756661060732,0.280686238166972
1989,1,0.059108111695467,0.896294308899051,1.80064351692733,24.9435915447258,0.261724684935516
1990,1,0.0356614964697112,0.88500072845936,0.956165316156118,19.7158766354322,0.219194732629499
1991,1,0.0213992823973978,0.88584512206619,0.5934605983221,17.94207886581,0.196896382794588
1992,1,0.0139929629596631,0.871621721414831,0.410255587036779,16.3059190920982,0.172792888937803
1993,1,0.03877507676406,0.888462103553337,1.18703128386466,14.7874509019593,0.155108137751315
1994,1,0.0252963761425936,0.923511151682699,0.695056232773192,12.1979077142314,0.115436741150124
1995,1,0.037520133593524,0.925978921642135,1.04494271736369,11.4282078969225,0.104406627891237
1996,1,0.0486104854890589,0.966970492731014,1.23206434806049,10.2265195408368,0.0905837063789204
1997,1,-0.0041454533057291,1.1211236532125,-0.0582690393566048,6.29154597419492,0.0372405792748071
1998,1,-0.0740086913860482,1.24140964159746,-0.848012870906287,5.85450765698705,0.0326195499643309
1999,1,-0.0947107371489319,1.29146468614381,-1.11066632966782,5.79580840036521,0.0236412263508625
2000,1,-0.0712404494444571,1.31555076970678,-0.874510656591094,5.75239136937327,0.0228249830553421
2001,1,-0.142590387951291,1.4853591510911,-1.41606914101469,5.1675297734185,0.0197962392872638
2002,1,-0.119156349292095,1.45712865024068,-1.3215595107936,5.41522559775304,0.0179016037461376
2003,1,-0.1087769568267,1.56737048978444,-1.19327940166765,5.00705200068041,0.0146287395343664
2004,1,-0.147973722667733,1.85224380894768,-1.16236748920434,3.90167310108206,0.00932506866517646
2005,1,-0.272539706805683,2.2560114389915,-1.59836410345333,3.70957504135782,0.00940977236433604
2006,1,-0.404805754403272,2.67670987177094,-1.89846261755672,3.61579068573346,0.00926819086693798
2007,1,-0.620007277979516,3.3324138087587,-1.96791255183867,3.26359148907205,0.00890855947699776
2008,1,-1.3422439739287,4.79306973188669,-2.00309417547214,2.82674334405075,0.0120473884708828
2009,1,-1.63088837205398,5.20510555949459,-2.15931787386614,2.88297167480347,0.0142874440302221
2010,1,-1.15262551655385,4.65923301283455,-1.90727882119568,2.81946590598096,0.0127292694775876
2011,1,-0.968169910424161,4.51198172421413,-1.53763360360557,2.6312106439189,0.0129203839138202
2012,1,-1.13483121664596,4.57566474981972,-1.60261957908653,2.65391010499556,0.0134070675816076
2013,1,-1.41786473551815,4.44095945875565,-1.72304546641186,2.62735342482506,0.0126580559670473
2014,1,-1.61963094145593,4.24611935662974,-1.564527809258,2.37267538721888,0.0136580913336838
2015,1,-1.73117837246103,4.03977360947489,-1.4905537778798,2.21002389833836,0.0148802021526135
