"year","Size_category","BM_category","intercept","A","D","E","AC","t_intercept","t_A","t_D","t_E","t_AC","adj_r_squared"
1968,"Medium cap","Med BM",1.24149604091076,0.0057680495207335,-0.420906832419344,1.17978531423026,-0.0115742543132548,1.49355288572648,1.62050614245377,-2.01387291640004,11.1127557604706,-0.496924093796965,0.786536866091753
1968,"Medium cap","High BM",1.26138436316622,-0.006616341113768,-0.0891966621976142,1.09129531026721,0.00423043485065424,1.35924310205936,-1.7572292606243,-0.52953420521281,11.9485824407412,0.355552815328966,0.936518262006548
1968,"Medium cap","Low BM",2.06686480660198,0.0315009713116108,0.227182338645057,0.518086900093264,-0.022969443898306,1.56639741756326,3.64185209566384,0.613745224317839,3.03009678091024,-0.448132577501799,0.509771454228975
1968,"Small cap","Med BM",0.365493923041606,-0.00431030937153566,-0.0700151350999785,0.907524173558452,-0.03038838089792,2.15210618340623,-0.671885927902021,-0.178675693319968,6.99827220491437,-1.11508731946307,0.465259125618472
1968,"Small cap","High BM",0.203047241941865,-0.00155557880152006,0.74759724958124,0.535761618921516,0.0735232658423048,0.546540778126723,-0.204145554898427,1.22130148939679,3.5193331164144,1.29079489442205,0.512323467924871
1968,"Small cap","Low BM",-0.19309972602715,0.0300995985947937,-0.179873238786576,1.02335159934191,-0.00191842203715452,-1.03892377525914,2.94274542403738,-0.27847847783651,5.11576324191285,-0.0336577745391141,0.671683273580015
1968,"Large cap","Med BM",8.63140163311738,0.00702896475763549,-0.0103170947723221,0.815900647027316,-0.0504099694213234,2.16458463998438,2.39165135743733,-0.0515634375340249,5.76828933667674,-4.46150636395656,0.999260803077498
1968,"Large cap","High BM",10.3237174116095,-0.0079120064311988,0.490974019843394,0.668160648193229,-0.0793246897220443,0.386492366030632,-0.399714779483341,0.411493131885515,0.880329813053561,-1.16752582211891,0.870688947796005
1968,"Large cap","Low BM",2.99773891088957,-0.0106367408692111,0.563516065484305,0.921248926890788,-0.0515221664835877,0.567188629867956,-2.27994690825662,4.96082117507484,9.36510420882139,-1.97892873119096,0.995163955863423
1969,"Medium cap","Med BM",2.40681168294075,-0.00256990581711166,0.0406695311285206,0.98547873567442,-0.0450304599244254,2.84461730372621,-0.662427923324027,0.188128206443214,8.83901002210376,-1.96707650418853,0.63241443337092
1969,"Medium cap","High BM",1.60585715122671,-0.0013225362263744,0.15489296374833,0.821714102810885,0.0234005114157185,1.2790266638755,-0.269401880758052,0.661670239838332,6.6968773266688,1.34134159076973,0.812161718431359
1969,"Medium cap","Low BM",1.48643361477813,0.0221843396432804,-0.0762770226635442,0.790513935572542,-0.0288373893182588,1.86689913621076,3.42482060994388,-0.246058314281534,5.77340637480932,-1.0408645499239,0.578922848871189
1969,"Small cap","Med BM",0.360429271364251,-0.00249309156190888,0.075070606903548,0.848575233954064,-0.039018234621992,2.621034273192,-0.473297530028207,0.243318978578471,8.41397937440001,-2.05104281703416,0.49121331717704
1969,"Small cap","High BM",0.215267497819389,-0.00161406011312023,0.590265202285502,0.61211044988992,0.0306728810013334,0.73628953631057,-0.269088819362093,1.26923543801699,5.29644963830194,0.77457774705397,0.540906034621385
1969,"Small cap","Low BM",-0.0216646182770021,0.0239066915239668,-0.46460105081346,0.844793217565213,0.0354860436520288,-0.180329226289785,3.75180401098775,-1.07960259281402,6.25186990044523,0.883248852915889,0.585963433499427
1969,"Large cap","Med BM",7.65592671482289,0.00574647786447669,-0.310373614496936,1.06927611272621,-0.0421087515512329,1.0347578902413,0.999361322691357,-0.769558170969435,3.44052084316763,-1.06206496369892,0.987447800730596
1969,"Large cap","High BM",3.06479098804565,-0.000587384920820896,0.61804324209856,0.478353226069057,-0.0783300208365259,0.167539875875644,-0.0519951921934106,0.879062980487554,1.28658476816956,-1.77257251309674,0.913878096683945
1969,"Large cap","Low BM",-2.13759906019424,-0.0179913581000078,0.241976872214731,1.27088816570757,-0.00013696593940531,-0.400775241453947,-3.44896359452758,2.20107653782127,14.0780102395532,-0.00467707969977243,0.991227570002878
1970,"Medium cap","Med BM",1.39121591628581,-0.00418480940317742,-0.15407488271071,1.10622523865864,-0.032056977937431,1.71657071034725,-1.10206310912905,-0.73075159362779,10.2990265422194,-1.47787988366822,0.566011824753208
1970,"Medium cap","High BM",0.548347351910666,0.00210897353356728,0.173243065557722,0.827383566941183,0.0218128931365201,0.383937907603216,0.486184667631638,0.594660204415221,5.85749599764266,1.37687712065766,0.677146606546697
1970,"Medium cap","Low BM",1.16342256146266,0.0162210987081902,0.174531429173905,0.8245342814694,-0.0378479157469943,2.03492872820421,3.09801410563415,0.680077977194251,7.2808098063524,-3.41647231602025,0.619136502821881
1970,"Small cap","Med BM",0.289711628952934,-0.00455304755740319,-0.0373248576849269,0.930215474105988,-0.0414197220649697,2.79907007151192,-1.05622534262852,-0.14753606900178,11.0690698936994,-2.64870214994418,0.505882256217397
1970,"Small cap","High BM",0.303815309399684,-0.0187440391859918,1.6817159867507,0.342664174232542,0.0126256624833375,1.2252508558204,-3.85449954769386,4.6322415171308,3.73906652387748,0.743680982847814,0.479123909636963
1970,"Small cap","Low BM",-0.0605026361484195,-0.00548851728832805,0.0683441401186256,1.53634163824198,-0.00421929565203739,-0.435706816117054,-0.868798010841493,0.139933832489783,11.5762408214236,-0.0969682075648067,0.700788364565341
1970,"Large cap","Med BM",4.61549727542848,0.0100244532765876,0.131510585165395,0.761667930516747,-0.00940617288033497,0.881949632920579,3.19283041524126,0.491478137655157,3.7648572663791,-0.361356054310459,0.990736356152925
