"year","forecast_horizon","intercept","EPS","NegEPS","NegEPS_EPS","t_intercept","t_EPS","t_NegEPS","t_NegEPS_EPS","adj_r_squared"
1968,1,0.172459373038838,0.938748616160424,0.0890710234929845,-0.276909222721447,1.88757736756927,19.6401098194335,0.579451347201138,-2.74167263674497,0.621303673735823
1969,1,0.0821363057020267,0.971319357700208,0.148767036880222,-0.361786664634126,0.665566731208591,14.9495011928293,0.873998746121742,-3.51912761711949,0.552579199577664
1970,1,-0.00905883513248184,1.00589611281043,0.240150281362682,-0.336661196235815,-0.0694799115123729,14.3751449450542,1.37668738734109,-3.34939964688244,0.521864791536542
1971,1,-0.0392370763716029,0.996619139910974,0.212719177063337,-0.337558280211485,-0.399188058696091,17.9386219686855,1.56906973243475,-3.9650865375758,0.436556623301132
1972,1,-0.140843398090976,1.05123207341939,0.375984658449273,-0.415473506244994,-0.973506966488005,12.6373290849622,2.04284993191883,-4.55870943844841,0.340157228518725
1973,1,-0.202641176063546,1.1042509265905,0.605509120477983,-0.354025576498452,-1.15301781229607,10.6293039854567,2.66176684309391,-2.71688939143412,0.261482759163161
1974,1,-0.239682090215343,1.15213118668152,0.741769101968099,-0.265483086055963,-1.3865844604509,10.8735592322793,3.24713226626693,-1.93734896092251,0.204405016909816
1975,1,-0.422022589340822,1.26008133623072,0.818714418001613,-0.452799096050267,-1.96246251632477,9.63695430373971,3.04589408006387,-4.11086711839822,0.189632229159848
1976,1,-0.361273197108633,1.20291071879088,0.702132552041788,-0.502833625376653,-1.70092813138534,9.43320275781736,2.67307426008199,-4.67562735649472,0.19631683838511
1977,1,-0.242494989309364,1.14941056005883,0.563496538717272,-0.530344453795451,-1.4759964338014,11.2628877859335,2.72909126482493,-5.70095742087174,0.176884359587104
1978,1,-0.248016834089337,1.16650441386514,0.54537376577332,-0.562030978262888,-1.61156367845946,12.1915945234406,2.82651625347673,-6.37331580583899,0.186049270867802
1979,1,-0.219721315604399,1.16010017292065,0.532238458659716,-0.55704103846348,-1.63153671446387,13.8622328040371,3.10715350941105,-6.9132932221728,0.189894070095262
1980,1,-0.222543860727608,1.17046044364845,0.595698302835805,-0.496439703369061,-1.78566003925829,15.335918031411,3.6578517821832,-6.84578285218347,0.196770218064937
1981,1,-0.205526955140819,1.14954674838914,0.589661488117436,-0.453573828855626,-1.64110538351357,15.5525190826268,3.6410127662907,-6.36941061601988,0.203528702616099
1982,1,-0.164236443694147,1.11743881992928,0.521076689836783,-0.403777201425191,-1.39642271146588,16.3190954611624,3.42902141910943,-5.48118397296167,0.199718471336017
1983,1,-0.108740295901569,1.05397403140714,0.435405283861083,-0.275535940975627,-1.06174836552854,17.8666636532696,3.05271449228485,-3.69403686210649,0.208206802356857
1984,1,-0.0604985816733839,1.01318884914265,0.389798805499314,-0.243569032085396,-0.670902666960757,19.4954298097772,3.10271305220986,-4.03792278814238,0.22773212915371
1985,1,-0.0248518101765274,0.985741891853316,0.31447661094828,-0.236895915395166,-0.324169498778396,22.0748941840633,2.91452933093345,-4.02551464970451,0.258768484192598
1986,1,-0.0677271784598688,0.994039071015232,0.280707592253787,-0.247484113808908,-0.940466570325105,23.3459901933616,2.77509352291997,-4.32584667345889,0.270508472644806
1987,1,-0.0969668656861531,0.982539860627326,0.350594925507097,-0.181879507615707,-1.28823023883518,22.242598985507,2.94030751846063,-1.81583233521185,0.284404560744775
1988,1,-0.109084504076251,0.974178485156617,0.330737781842323,-0.234507055837165,-1.40304639368505,20.8432135873778,2.85980239013704,-2.55270756784411,0.27104247972777
1989,1,-0.142603838806009,0.982353012702642,0.383899139583084,-0.214678512660939,-1.60680891223469,17.9602727415771,3.0393649347678,-2.41086808549879,0.251979914663249
1990,1,-0.194051346230144,0.985842513293061,0.439429077089673,-0.207713355914681,-1.64549287830011,13.4002975575423,2.75406059949405,-2.16554763545195,0.216336253765173
1991,1,-0.237583884752667,1.00678596063223,0.473638623434253,-0.218171116016295,-1.83201657713555,11.8347530574395,2.75843465991544,-2.27537924322485,0.196474794776459
1992,1,-0.287070376795935,1.02015074030418,0.508947137121989,-0.248393159633726,-1.99174266778482,10.3104549414838,2.72129989004619,-2.50658712168065,0.175717001483753
1993,1,-0.359015430714698,1.09778985484508,0.601223417819534,-0.33497911648269,-2.16031595539929,9.1270050574188,2.85134437429041,-2.97876931200269,0.163010477732643
1994,1,-0.424779412817084,1.16122557254671,0.679147036630488,-0.372693981685385,-2.1916250714724,7.82982234629133,2.77952731682479,-2.78841050652369,0.118596537865418
1995,1,-0.429568328898525,1.17802407373236,0.749956443600948,-0.343611150048935,-2.16796858042491,7.45878336001518,2.82757050514128,-2.96944780485832,0.107946016466258
1996,1,-0.51369724710113,1.28108080576847,0.905828384092162,-0.399358493704372,-2.2359001513151,6.7928127388513,2.91498842886019,-3.1265046959942,0.0956557183383392
1997,1,-0.867400135738941,1.59800490166819,1.3865122844069,-0.560148432806903,-1.98234336922016,4.39120062427074,2.33075478239681,-2.71424414209769,0.0418750930340026
1998,1,-1.1101101158256,1.79789430397436,1.73246917845093,-0.58929814467658,-2.17372240681485,4.22975496265598,2.47671834092535,-2.61571567727703,0.0374009002858715
1999,1,-1.22986288953374,1.91060433830093,1.862094118935,-0.668353971265388,-2.33607866458441,4.241183301419,2.58793697294442,-2.70908057064116,0.0275355954226301
2000,1,-1.2800712443143,1.9915691705261,1.961595497101,-0.72708669540584,-2.36154954315732,4.2246218561656,2.59095903790225,-2.88680676727316,0.0270112681527324
