"year","forecast_horizon","intercept","EPS","NegEPS","NegEPS_EPS","t_intercept","t_EPS","t_NegEPS","t_NegEPS_EPS","adj_r_squared"
1968,1,0.153406020276149,0.94587011670365,-0.108864518419387,-0.695150833197584,5.46995290837527,84.1410539609474,-1.07442671040439,-6.72705309591961,0.59445192834741
1969,1,0.113538113052222,0.953751811307021,-0.108801347367206,-0.772263196412279,3.96587402044088,81.4686697106869,-1.05322429147967,-7.53188723917502,0.510871296195448
1970,1,0.0619663745590814,0.967376416338669,-0.0447712050120332,-0.647668174405479,2.25340712681936,84.2829920743658,-0.445925698567712,-6.48089963617013,0.471319235631249
1971,1,-0.0172704538195162,0.982121364697104,0.0602767228709071,-0.524178319783955,-0.630542602632298,84.3970725323773,0.625010573063268,-6.14692425288018,0.425961341101109
1972,1,-0.0729790406503274,1.01369688633241,0.0860130684239348,-0.640321349113025,-2.29821468596612,73.3479092148088,0.842743577024692,-8.00322474573431,0.323062412403112
1973,1,-0.096739198156841,1.0460619333022,0.153648464431282,-0.686045889100035,-2.69082279722691,65.2784610444564,1.38147867238026,-8.21405935109159,0.242838066682457
1974,1,-0.150739740766103,1.10199752281274,0.268054344556092,-0.637002556288166,-3.91228124426896,62.8276682274192,2.25918256124203,-7.02683049770338,0.195285981569261
1975,1,-0.238179405502796,1.16198014654847,0.334417030119099,-0.671569235653634,-5.73725511453778,61.4232934311867,2.61208455650871,-7.0003453785123,0.168418005597149
1976,1,-0.213827206273511,1.12554145609822,0.238437954972499,-0.735157209316455,-5.6346738497614,66.5303443989589,2.12543113179479,-9.931622138308,0.175002049388796
1977,1,-0.19126353324973,1.12228033037553,0.197717498869737,-0.798773854078698,-5.23370704230696,69.1901803692427,1.915428095007,-12.349670016291,0.173306384858419
1978,1,-0.197810618937634,1.14075604075576,0.193057876085869,-0.825046402454872,-5.65893232926157,74.1732433675834,1.99144531943906,-13.6245146137189,0.182188249851563
1979,1,-0.200847904455038,1.15136516325215,0.19162497870546,-0.852757371995073,-5.95126732655901,79.2805905136483,2.06131913179874,-14.7830063699868,0.191238323901551
1980,1,-0.213610315628969,1.16720552795814,0.225957374205283,-0.834922359327747,-6.42473827929204,84.0137972661508,2.49817122771327,-14.9457706845189,0.199513070918819
1981,1,-0.183802510669724,1.14087230039271,0.182792543233934,-0.809897333404023,-5.64599689825114,87.4975524830276,2.09009112743297,-14.8675820670317,0.20354013480713
1982,1,-0.159430233835349,1.11681601369305,0.153342484770547,-0.744640091892999,-4.95955239018516,89.267065524304,1.82192687157532,-14.1460470336232,0.202295824899649
1983,1,-0.135449600611127,1.06816427986042,0.0816093185374198,-0.653387666768099,-4.52654415418151,93.9005863611506,1.08676590081875,-13.9871590540852,0.214543448513173
1984,1,-0.112579905981584,1.0383993192653,0.0306083377125916,-0.643003421381743,-4.06538473546835,100.024271402814,0.475431373695887,-17.0893292046175,0.237346005284011
1985,1,-0.0835139631326433,1.01215605899298,-0.0154608887876496,-0.624326350472948,-3.35158030909307,108.588828081895,-0.283529388055433,-19.8385250698286,0.268763090989445
1986,1,-0.116589723633672,1.01765927563358,-0.00971082658756737,-0.596803137919258,-4.79225700071644,110.993858509149,-0.190900852297905,-20.3401221943981,0.278560684273164
1987,1,-0.149857806432644,1.00796629643298,0.0234558249544895,-0.544662536254797,-6.41854244261963,113.590753727324,0.503800053228609,-20.5684422755882,0.288493270716476
1988,1,-0.156875204731539,0.996464266659397,0.0210728074451693,-0.566887277331066,-6.71649051875124,110.200739991986,0.473190701253111,-22.6400119657243,0.273106874432264
1989,1,-0.180214866592177,1.00057839142557,0.0497590949618948,-0.552599588570852,-7.43468650957293,104.450059692717,1.11782031803359,-22.3255694706762,0.249952344697598
1990,1,-0.201753065539523,0.98664074666448,0.0742294159674099,-0.5315116264824,-7.60354257543591,92.3726339750652,1.56742091495273,-20.1832940700692,0.204378505033505
1991,1,-0.226170850647096,0.995124239031402,0.109860694160761,-0.501303206720782,-8.14381364384646,85.5354275050582,2.27985845741696,-19.0031768311698,0.180747912997133
1992,1,-0.255156700531612,0.998144004237533,0.134075131906464,-0.501389319501865,-8.73930289661651,78.2163107191757,2.71350727103637,-19.1350826873876,0.156445324322799
1993,1,-0.289361854392613,1.05311710654745,0.167350854533483,-0.578244099187758,-9.34256220973668,73.8899550159692,3.24650392664922,-21.5279873255553,0.139393101657631
1994,1,-0.35713774402229,1.1193553940814,0.230354199592022,-0.64123086844965,-9.64300913254153,63.3435140258273,3.752985773383,-19.8966559734448,0.102756489516846
1995,1,-0.380738462324374,1.14861004368814,0.250688075229991,-0.694126092806614,-9.99768856295756,61.1137972566303,3.9837391012322,-20.9199084873879,0.0924321387331747
1996,1,-0.416741872008499,1.21438410972982,0.291456154941294,-0.785929358174674,-10.138616489164,57.6490179578458,4.29824673892199,-21.6314476816907,0.0788449993000336
1997,1,-0.592845340558536,1.40970341318801,0.455315021056064,-0.99204635738324,-8.13585927424535,37.0647096828897,3.76663220297158,-14.8834436743247,0.0311383097608906
1998,1,-0.730057179424608,1.54176275813165,0.591108259698692,-1.0929647835644,-8.71895298532371,35.0702122359206,4.22118552277711,-13.8145471702571,0.0264508083802265
1999,1,-0.910202738697118,1.70296871865403,0.752006351191801,-1.24943562998954,-9.09572487220133,32.032814870776,4.45215689465035,-12.8934202406759,0.0209482630419673
2000,1,-0.981410652863096,1.8049221627622,0.797535956909072,-1.37460246168862,-9.49510892970545,31.7930633882935,4.6057025495904,-13.9139664935394,0.0201556712557472
