"Period","A_mean","A_sd","E_mean","E_sd","NegE_mean","NegE_sd","D_mean","D_sd","DD_mean","DD_sd","AC_mean","AC_sd"
"1963-2009",1716.18,8279.14,46.82,270.86,0.27,0.44,19.74,103.78,0.52,0.5,-56.66,304.89
"1963-2023",2737.91,11180.53,77.61,393.88,0.29,0.45,32.46,149.07,0.51,0.5,-95.59,417.83
