"Size_category","BM_category","LHS","intercept","A","D","DD","E","NegE","AC","adj_r_squared","t_intercept","t_A","t_D","t_DD","t_E","t_NegE","t_AC"
"Small cap","Low BM","E_{t+1}",0.621486144570271,-0.00941314529822859,-0.665728708193789,0.951175936026054,0.31602350431532,-2.86364504421078,-0.00581818510927717,0.263599937493484,2.81041444740978,-2.95936880636768,-2.55862828907178,1.50784673609221,8.64576362105467,-3.82576422036219,-0.813944428551683
"Small cap","Med BM","E_{t+1}",0.271626796510663,-0.00757543068434017,-0.0211780662670534,0.373695721488114,0.621774922107982,-0.809372559180575,-0.140799216193483,0.318789557233257,2.40837844707225,-2.08067978456313,0.467139065046043,1.60195646221257,22.6504553336689,-2.9571501848989,-5.3454705776988
"Small cap","High BM","E_{t+1}",-0.0619188783121315,-0.0195769079612053,-0.221047712799949,3.50704274442903,0.378898569523775,-1.48033856900218,0.127053846156126,0.185633442780216,0.509913074946656,-7.32533325334685,1.57506299807949,2.20381993379758,13.4077162108952,-0.616023509323426,0.654012858470963
"Medium cap","Low BM","E_{t+1}",1.99260966447552,-0.000238794882572601,-0.4118100087594,2.9013690633576,0.895403779398096,-1.15340206105482,-0.191307015475136,0.284337852537413,1.71873045749987,-0.0380653136909888,-0.589445473668684,1.17910550149479,17.8907042327198,-1.01310257508218,-2.43878789070321
"Medium cap","Med BM","E_{t+1}",-0.2135707040669,0.000972520448553513,0.0562953909233971,3.10101896425386,0.74273954705889,-1.27608220270816,-0.0569798939291344,0.395366032713258,-0.083786430898681,0.998818603043767,1.34218089356697,3.48870153755844,30.9517243010132,-1.86292484783562,-4.26446590967075
"Medium cap","High BM","E_{t+1}",0.0726949802376149,-0.0154722622736292,0.174374030688029,9.98842649407147,0.670918550852523,-2.87777617557003,0.0635913475221772,0.265157252464945,-0.339555706556992,-8.11483392974673,1.75349794820828,2.74510344882319,14.5333707539039,-0.43278486662798,2.21222603947281
"Large cap","Low BM","E_{t+1}",-15.6195577613076,0.00105829718382109,0.260488961989252,-45.7083959123303,1.08088242256569,34.7375697273383,-0.243909727711174,0.794661412468031,-0.773740084858607,2.79463349177166,4.1073065189739,-1.03323803845963,35.8402253336453,0.932458906727683,-15.0372306107429
"Large cap","Med BM","E_{t+1}",-27.6339201951701,0.010770886026499,0.34858464337346,-16.6856237952098,0.812328607516339,80.4291496158691,-0.0409169592564665,0.728512490242619,-1.24396235969122,7.88576513625811,5.73793632313902,-0.456548872253053,31.7087930281307,3.19840363263327,-4.1960980971643
"Large cap","High BM","E_{t+1}",43.9806438368556,0.00469025459544768,0.0714815459029933,-64.77089884158,0.706347675173616,45.2157033352479,0.0841254525931273,0.526750330793711,0.0864164025271357,2.10986867745651,-0.489374844903339,0.393072129183536,12.1125111342607,0.843236944280146,2.65895222215402
