"forecast_horizon","LHS","intercept","EPS","NegEPS","NegEPS_EPS","adj_r_squared","t_intercept","t_EPS","t_NegEPS","t_NegEPS_EPS"
1,"EPS_{t+1}",-1.548126061305,2.1741137869997,1.35221046177122,-1.81733265869032,0.15036356736701,-7.26207950123596,60.7759263627277,2.71526718417463,-15.7372506169855
2,"EPS_{t+2}",-1.5539734886572,2.15899149605229,1.40686650614167,-2.09149384034984,0.107302900931567,-5.49957267171953,50.3342249588304,2.55019949211392,-16.8643343596607
3,"EPS_{t+3}",-1.58662043941607,2.19467329582359,1.5087480209091,-2.23114443509135,0.0854647549795577,-4.45910982266606,44.1019681412462,2.49504105285759,-16.0504800850048
4,"EPS_{t+4}",-1.63936658226222,2.25673518805902,1.54725910174494,-2.39040661564439,0.0730384128126053,-4.04825502273975,39.9883855505017,2.1924349787357,-15.8614832915181
5,"EPS_{t+5}",-1.73910332603714,2.35022097438664,1.68753858169541,-2.50884333084212,0.0688283204562547,-4.27812475981435,37.7148664549667,2.58654001676359,-14.9241989310183
