"Size_category","BM_category","LHS","intercept","EPS","NegEPS","NegEPS_EPS","adj_r_squared","t_intercept","t_EPS","t_NegEPS","t_NegEPS_EPS"
"Small cap","Low BM","EPS_{t+1}",0.00266038033436096,0.402582677636441,-0.0356273260659478,-0.00217238652935757,0.0739776315507368,1.22377024606214,6.94295891409709,-1.63164580840053,-0.128252972651458
"Small cap","Med BM","EPS_{t+1}",-0.00237015429894413,0.680141184051076,-0.0293987389527572,-0.000728715776940833,0.0993713452416783,0.262759884113406,11.9261355034199,-2.23922823390229,-0.937275119660465
"Small cap","High BM","EPS_{t+1}",-0.0651988766843212,0.626483825086661,-0.0454728796359253,-0.00203166659514814,0.0592991352020644,-2.61893268774118,12.0466363905901,-0.694856312736257,-0.709057100124012
"Medium cap","Low BM","EPS_{t+1}",0.000509159498493036,0.969382583060035,-0.00267771896706454,-0.00158060843609714,0.118278833856528,1.19416817008391,11.6942273654767,-1.42526575310507,0.821559046545458
"Medium cap","Med BM","EPS_{t+1}",-0.00260615554596563,1.15371293331968,-0.0169862063725607,-0.00228011623006248,0.154063049179042,0.564155459165817,20.9160150547074,-1.44969130097667,-1.60933259748556
"Medium cap","High BM","EPS_{t+1}",-0.0181575470729247,1.2411846174397,0.00461870567213056,-0.00439793487646368,0.0788559986582174,-4.89269777078018,12.2001846227147,-1.05349509292324,-1.29391231066776
"Large cap","Low BM","EPS_{t+1}",6.14384120327647e-05,1.09782629364145,-0.00129883740133303,-0.000470448626744597,0.205464369543739,0.560626846667017,15.3125088317084,-3.41253239738,-11.7727876294011
"Large cap","Med BM","EPS_{t+1}",-3.75549818499613e-05,0.969672974029791,-0.000867920899295386,-0.000410882450015324,0.219403390373096,0.814397245740443,23.7929000998064,-0.164995451869966,-2.44991649281908
"Large cap","High BM","EPS_{t+1}",-0.00215396852680933,1.17478515560703,-0.000351977671235915,0.000733905475923035,0.172179997872985,0.148474093888371,10.223279140179,0.230509126073198,1.39935122684085
