"year","Size_category","BM_category","intercept","A","D","DD","E","NegE","AC","t_intercept","t_A","t_D","t_DD","t_E","t_NegE","t_AC","adj_r_squared"
1968,"Medium cap","Med BM",-1.12945595478068,0.000883915174008237,-0.460292995485434,1.68459083689748,1.3338545926041,24.493870471401,-0.00312349758949337,-0.361950237610258,0.257982548950908,-2.54022116629536,0.525500776862679,13.605907745485,5.13960978510296,-0.146641621411615,0.837597387386855
1968,"Medium cap","High BM",1.35256241520404,-0.00397802907775729,-0.0326783671732551,NA,1.00781088496781,-3.73323357835091,0.00205686505610762,1.49176403242362,-1.00155142451559,-0.193638372252323,9.90097583418533,-1.77595173285782,0.169300065881099,NA,0.939727328961602
1968,"Medium cap","Low BM",1.22095703445979,0.0166293301415146,0.235390738065952,-0.319473451559464,0.766695426826482,10.7479572104408,0.0261531389019447,0.591152993900606,1.64213362210955,0.617367741254789,-0.148985985469051,3.96363359201676,2.43862291283679,0.488765311447109,0.546468297912883
1968,"Small cap","Med BM",0.382503089834112,-0.0063505214252609,-0.0647770569388797,-0.0926320612311689,0.981316129205964,0.252060286102089,-0.0226180997671924,1.50531412152205,-0.933051219239872,-0.148215824181821,-0.326448107319829,5.96273218104208,0.53610812020263,-0.771891582130468,0.459114813408721
1968,"Small cap","High BM",-0.588774181464329,0.000674514551926815,0.363072478622081,0.525113235738313,0.766293119051218,1.8269061946656,0.0585117769160496,-0.83460140975671,0.0864073149638616,0.542758926540256,0.692767717536261,4.09513939972921,1.91899258509435,1.02267962141793,0.52166016815956
1968,"Small cap","Low BM",-0.38329636044535,0.0315467460211948,-0.641005071122526,0.353628542569893,1.00147582292887,0.161339554642236,-0.000783131156897086,-1.26595070907928,2.82851826649073,-0.791235108906686,1.00992508233008,3.25195663590792,0.318573531790915,-0.0130605530809977,0.653549562914088
1968,"Large cap","Med BM",8.76643018682755,0.00643531657624257,0.0087667597550591,NA,0.8160605977492,NA,-0.0416935373915996,2.23754214806549,2.22688309667564,0.0447372060694868,5.8813552679148,-3.54490950908328,NA,NA,0.999291511499474
1968,"Large cap","High BM",9.34432243010973,-0.00727879360034124,0.532124175958825,NA,0.641301205282915,NA,-0.0776472691902274,0.343513080461425,-0.359779481303255,0.44092609961893,0.828578051212746,-1.12237330238219,NA,NA,0.869203545080977
1968,"Large cap","Low BM",-3.38459806466867,-0.0179382914443865,0.831801724862411,6.20492335776782,0.882334772801747,NA,-0.0474139241042186,-0.121115115763603,-3.38192041094403,6.30823438080838,0.219957654849111,7.92862109441086,-1.59902343773598,NA,0.993851699494325
1969,"Medium cap","Med BM",1.03921656906391,-0.00724212769579029,0.00132683178282907,0.943826172478367,1.11637393965377,23.259274867763,-0.0341212906246297,0.294037901596785,-1.79423967313496,0.00633297642739102,0.260268158165814,9.90126685501081,3.61445909866079,-1.47306394102096,0.663718034253645
1969,"Medium cap","High BM",1.59446927272505,-0.00205084274084177,0.128430560399133,NA,0.853767196578943,0.788827416083312,0.0260013334499891,1.26773488293722,-0.37904330306775,0.530647513505252,5.8840705288132,0.253362246176228,1.4269437141273,NA,0.812276432109371
1969,"Medium cap","Low BM",-0.254075888893674,0.0178903765976165,-0.213899696257897,2.04984205938503,0.902349384889166,6.17975325840026,-0.0187086512168648,-0.226188719191015,2.54809403432278,-0.687927317758172,1.57534358734267,6.07091018253963,2.14931647456081,-0.626730912852894,0.598911754195067
1969,"Small cap","Med BM",0.422002394679066,-0.00575556106996934,0.130481462803657,-0.238845143806074,0.975240336223906,0.53901262107501,-0.0341980133229884,2.13558713897479,-1.0410469539163,0.38389550232764,-1.07025922919728,7.73199671875132,1.3592796188304,-1.7645302798011,0.502525266022352
1969,"Small cap","High BM",-0.248964113816205,-0.00120959878791112,0.403536321088229,0.114073242112027,0.805534066820911,1.4324274243418,0.0194807032348881,-0.487319055875668,-0.194987266281882,0.772809207503188,0.205028381155586,5.66396940566686,2.21766249037015,0.471519942316829,0.544940512916103
1969,"Small cap","Low BM",-0.358277935455417,0.0211173029081228,-0.99811482652698,0.470702359834678,0.993246870178159,0.456461230391614,0.0276547792364069,-2.06974149924722,3.22487987494261,-2.15771186981799,2.45590012173592,5.46374149468237,1.37867581576864,0.706126976383917,0.616375634256613
1969,"Large cap","Med BM",5.31473509448377,0.0104091955380029,-0.114162485203076,NA,0.906798931756522,NA,-0.0305160799521124,0.706933248094886,1.68702737306794,-0.307886129797887,3.16803628234921,-0.773657091585351,NA,NA,0.987806530467016
1969,"Large cap","High BM",2.09106940916651,-5.36189774284372e-05,0.651930178006303,NA,0.456753296773526,NA,-0.0767149864089096,0.112819990128036,-0.00468214970518787,0.924557080136231,1.21707620107757,-1.71180204586212,NA,NA,0.913473960050298
1969,"Large cap","Low BM",-9.44863477836042,-0.0286469603415158,0.582900735173688,7.06115224381118,1.2383985571795,NA,0.00560244655878937,-0.273461185667061,-4.78836474256475,4.34702502893878,0.202695124538934,12.0764073275983,0.167376785065438,NA,0.988797354904882
1970,"Medium cap","Med BM",-2.23623956963907,-0.00705175554102358,-0.234831207631094,3.51800038378974,1.20483286614099,15.4751844955902,-0.0257183513851224,-0.895640785444257,-1.79558718812457,-1.11129882362421,1.3648853083857,10.8891451035836,2.83358913343202,-1.16758971457977,0.583080167809391
1970,"Medium cap","High BM",-1.08865217676298,0.00153026901884574,0.115436921331246,1.38962597418433,0.886238475415208,2.71151898110172,0.0260012130007222,-0.121858629313651,0.311616420693992,0.384898100549666,0.153942838655095,5.43726164776642,0.590450394975997,1.55307755793653,0.670682548523332
