"year","Size_category","BM_category","intercept","EPS","NegEPS","NegEPS_EPS","t_intercept","t_EPS","t_NegEPS","t_NegEPS_EPS","adj_r_squared"
1968,"Medium cap","High BM",-0.00749275939715236,1.0831818757069,-0.0156909964339797,-0.00825957158280888,-2.42892808854558,15.6055105912184,-1.05669428773841,-1.08467926295974,0.485226027642924
1968,"Medium cap","Med BM",0.00308480915065337,0.727571643277448,-0.00577516291718778,-0.00220729373710801,4.92411069684804,32.7066687650001,-0.8741653990167,-1.37044266569265,0.547184345703557
1968,"Medium cap","Low BM",0.00319197089640742,0.61377878858864,-0.0046135864471205,-0.0160894585387127,4.53627987366865,17.3675530207814,-0.730687263922604,-3.11764172340198,0.484670796917643
1968,"Small cap","High BM",-0.0240322033652059,0.884640040857287,0.187015794571335,-0.00975617831865391,-1.15151871635697,7.53790288638761,3.04384902978637,-0.434589979160508,0.130362484031066
1968,"Small cap","Med BM",-0.0586376385587519,1.39873916570703,-0.041699292512857,0.0816109645688304,-2.10599849369372,5.75748538689113,-0.530998939272982,2.7324941731345,0.145502479381704
1968,"Small cap","Low BM",0.0340656607250734,0.0497784832990744,-0.0296265584225951,-0.0184543396764692,6.38425940019399,0.769238032586358,-2.328898318968,-1.20878823966168,0.0185713954684804
1968,"Large cap","High BM",0.000381397305191752,0.807210906899927,NA,NA,0.74874764507673,9.87301995966455,NA,NA,0.672420274922598
1968,"Large cap","Med BM",0.000790482715771807,0.767005637140716,NA,NA,6.90466394238565,30.1458349064998,NA,NA,0.692547448305136
1968,"Large cap","Low BM",0.000252698530085772,0.888264423733455,NA,NA,1.7714345272703,20.396520760921,NA,NA,0.63263206456235
1969,"Medium cap","High BM",-0.0288577518175486,1.87065279494494,-0.00267187942012374,-0.0376648634550506,-5.3584499324672,15.8573887533896,-0.104197579824989,-3.14997604755507,0.411432045455891
1969,"Medium cap","Med BM",0.00304197432356365,0.790496795104845,-0.0050037393110448,-0.00222657447563775,5.44487109689316,39.9917957057538,-0.89088408723707,-1.39774704232804,0.556197366409851
1969,"Medium cap","Low BM",0.00359591456055447,0.709075098685074,-0.0118095040855031,-0.021255626979312,5.06971888824217,18.7626949815637,-1.92877139005995,-3.35705982213396,0.366911814844199
1969,"Small cap","High BM",-0.0202000516516462,0.865163697231913,0.167192865716826,-0.00990591564299021,-1.1552280007026,8.6845964836641,3.31351717771083,-0.48547329067023,0.142738351238188
1969,"Small cap","Med BM",-0.0169969965152272,1.04380572881601,0.00781055562260938,0.100635465073479,-0.830937740858371,5.52057873118983,0.134401043877784,4.17169459765362,0.115210864904951
1969,"Small cap","Low BM",0.0267083494160746,0.342072683561805,-0.0240582788280091,-0.0181005701177198,6.29751820153526,5.35828340514548,-2.40683781483814,-2.23534586100798,0.141430739822194
1969,"Large cap","High BM",0.000478552019084661,0.868622046551301,NA,NA,0.92270468921813,9.90991922857271,NA,NA,0.588393916925085
1969,"Large cap","Med BM",0.000598466595675513,0.828333431439553,NA,NA,4.8646610657028,29.9942403677962,NA,NA,0.612306563055053
1969,"Large cap","Low BM",0.000389204655128214,0.867980445507041,NA,NA,3.03363760016052,21.483762305375,NA,NA,0.584789344409592
1970,"Medium cap","High BM",-0.0459795041185756,2.52914819173983,0.0368032608165604,-0.031132549467801,-8.35323824975776,21.759308695424,1.29691155246838,-2.32760502733878,0.477443798925601
1970,"Medium cap","Med BM",0.00224006415666893,0.945255036801026,-0.00738201357974755,-0.00232780875343316,3.1620355207927,37.1014494254595,-1.01262098257582,-1.019636157807,0.446311706249651
1970,"Medium cap","Low BM",0.00456435595242988,0.838902041608701,0.00653344235317742,-0.023717390790108,4.2320333266352,14.1855281519583,1.01870136858541,-2.71608647979792,0.188227119392086
1970,"Small cap","High BM",-0.0377464484042735,1.0220372894536,0.117130028710961,-0.0141627217359514,-2.41361018017576,11.7846112176689,2.57232751651707,-0.680127754513342,0.197331928434808
1970,"Small cap","Med BM",0.00442486062653071,0.921799530562824,-0.019509850814447,0.107235937838226,0.293755338860672,6.22135586464699,-0.438717615872359,5.23269583767186,0.114734265152983
1970,"Small cap","Low BM",0.0263109837559657,0.494672106461596,-0.0199138405126132,-0.0163220484337789,5.82285289912353,6.46457748734781,-1.88544037377612,-1.8942592419299,0.144706071425166
1970,"Large cap","High BM",0.000947982706437078,0.915355285684197,NA,NA,1.85692643551127,9.96382053816307,NA,NA,0.495656899106616
1970,"Large cap","Med BM",0.000665703872498137,0.883275634629575,NA,NA,5.56211541087918,31.9239208969281,NA,NA,0.578113391612349
1970,"Large cap","Low BM",0.000520894126353834,0.913959890489284,NA,NA,3.38520665835729,18.3129499241831,NA,NA,0.454691926142754
1971,"Medium cap","High BM",-0.0255363949811294,1.78878667497161,0.017309734844086,-0.0175317671025924,-5.40801423571161,14.9697152012904,0.752252767439644,-1.81707016921442,0.211708007585623
1971,"Medium cap","Med BM",0.00160572347596396,0.939750405004671,-0.0010890751530822,-0.00189659910165737,2.56216462868676,40.8997874776534,-0.186701072105762,-0.902842430856639,0.453236463753558
1971,"Medium cap","Low BM",0.0037302896798009,0.872818627293996,0.00920451155163002,-0.0168839742802728,3.86766726045234,15.8709271927626,1.52266391439525,-2.26675392723183,0.20158460767713
1971,"Small cap","High BM",-0.0420335979299142,0.893706546848569,0.088364487218692,0.0112033938544318,-3.89896406328142,15.2345158407831,2.77467080261606,0.704725307761161,0.20453139283943
